rep,model_name,feature_split_col,train_size,train_ratio_detail,test_size,test_ratio_detail,accuracy,f1_score,eo_diff,train_ratio_rel,test_ratio_rel,train_ratio,test_ratio
1,xception,sex,5000,male:0.1/female:0.9,500,male:0.3/female:0.7,0.8,0.8000000000000002,0.24761904761904763,female:0.9000/male:0.1000,female:0.7000/male:0.3000,1/9,3/7
1,xception,sex,5000,male:0.1/female:0.9,500,male:0.5/female:0.5,0.744,0.7439836149513569,0.24,female:0.9000/male:0.1000,male:0.5000/female:0.5000,1/9,5/5
1,xception,sex,5000,male:0.1/female:0.9,500,male:0.7/female:0.3,0.722,0.7219899916396989,0.15999999999999992,female:0.9000/male:0.1000,male:0.7000/female:0.3000,1/9,7/3
1,xception,sex,5000,male:0.1/female:0.9,500,male:0.9/female:0.1,0.696,0.6959951359221748,0.19999999999999996,female:0.9000/male:0.1000,male:0.9000/female:0.1000,1/9,9/1
1,xception,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,0.818,0.8178768847741072,0.08444444444444443,female:0.5000/male:0.5000,female:0.9000/male:0.1000,5/5,1/9
1,xception,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,0.816,0.8158113908642451,0.06476190476190469,female:0.5000/male:0.5000,female:0.7000/male:0.3000,5/5,3/7
1,xception,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,0.812,0.8119729241010707,0.032,female:0.5000/male:0.5000,female:0.5000/male:0.5000,5/5,5/5
1,xception,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,0.822,0.8219935917693036,0.059047619047619126,female:0.5000/male:0.5000,male:0.7000/female:0.3000,5/5,7/3
1,xception,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,0.834,0.8339993359973439,0.17333333333333334,female:0.5000/male:0.5000,male:0.9000/female:0.1000,5/5,9/1
2,xception,sex,5000,male:0.1/female:0.9,500,male:0.1/female:0.9,0.862,0.8618756881193075,0.23555555555555552,female:0.9000/male:0.1000,female:0.9000/male:0.1000,1/9,1/9
2,xception,sex,5000,male:0.1/female:0.9,500,male:0.3/female:0.7,0.812,0.811891649590164,0.26095238095238094,female:0.9000/male:0.1000,female:0.7000/male:0.3000,1/9,3/7
